industry_url,job_title_url,job_title,wage,wage_base,experience_level,percentage_change,salaries,salary_values,respondents,job_rating,job_rating_round,genders,gender_values,gender_respondents
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Staff_Accountant/Salary,Average Staff Accountant Salary,"$56,160",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼8%', '▼1%', '▲5%', '▲5%', '▲6%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$44k - $70k', '$517 - $6k', '$491 - $5k', '$457 - $5k', '$41k - $71k']","Based on 14,458 salary profiles (last updated Nov 21 2023)",3.8 out of 5,"(1,476)","['Female', 'Male', 'Prefer to self-define']","['63.8%', '35.2%', '0.9%']","This data is based on 5,445 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Financial_Analyst/Salary,Average Financial Analyst Salary,"$66,222",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼10%', '▼1%', '▲11%', '▲17%', '▲21%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$51k - $88k', '$1k - $10k', '$752 - $10k', '$5 - $39k', '$50k - $91k']","Based on 14,267 salary profiles (last updated Nov 01 2023)",3.8 out of 5,"(1,707)","['Male', 'Female', 'Prefer to self-define']","['58.6%', '40.5%', '0.8%']","This data is based on 5,560 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Senior_Accountant/Salary,Average Senior Accountant Salary,"$73,492",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼12%', '▼4%', '▲2%', '▲4%', '▲2%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$57k - $92k', '$1k - $10k', '$821 - $7k', '$100 - $20k', '$57k - $96k']","Based on 12,554 salary profiles (last updated Nov 21 2023)",3.8 out of 5,"(1,375)","['Female', 'Male', 'Prefer to self-define']","['65.3%', '33.6%', '1.1%']","This data is based on 4,777 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Accountant/Salary,Average Accountant Salary,"$56,610",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼10%', '▼6%', '▲7%', '▲9%', '▲13%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$44k - $76k', '$516 - $7k', '$395 - $7k', '$505 - $15k', '$41k - $76k']","Based on 13,328 salary profiles (last updated Nov 22 2023)",3.8 out of 5,"(1,350)","['Female', 'Male', 'Prefer to self-define']","['68.3%', '30.7%', '1.0%']","This data is based on 4,631 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Financial_Controller/Salary,Average Financial Controller Salary,"$91,776",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼27%', '▼15%', '▼2%', '▲6%', '▲5%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$63k - $133k', '$2k - $22k', '$1k - $14k', '$935 - $72k', '$62k - $143k']","Based on 11,582 salary profiles (last updated Oct 31 2023)",4.1 out of 5,"(1,210)","['Female', 'Male', 'Prefer to self-define']","['65.1%', '33.9%', '0.9%']","This data is based on 4,632 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Accounting_Manager/Salary,Average Accounting Manager Salary,"$80,849",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼20%', '▼12%', '▲4%', '▲3%', '▼3%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$55k - $111k', '$1k - $14k', '$1k - $8k', '$534 - $23k', '$52k - $117k']","Based on 10,254 salary profiles (last updated Nov 22 2023)",4.1 out of 5,"(1,231)","['Female', 'Male', 'Prefer to self-define']","['74.6%', '24.6%', '0.8%']","This data is based on 4,187 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Senior_Financial_Analyst/Salary,Average Senior Financial Analyst Salary,"$86,790",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼15%', '▼5%', '▲2%', '▲8%', '▲11%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$69k - $109k', '$2k - $13k', '$991 - $11k', '$16k - $50k', '$70k - $116k']","Based on 8,813 salary profiles (last updated Nov 21 2023)",3.7 out of 5,"(1,091)","['Male', 'Female', 'Prefer to self-define']","['56.7%', '42.2%', '1.0%']","This data is based on 3,424 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Finance_Manager/Salary,Average Finance Manager Salary,"$99,781",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼35%', '▼15%', '▲4%', '▲7%', '▼5%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$58k - $134k', '$2k - $21k', '$1k - $16k', '$6k - $131k', '$56k - $147k']","Based on 6,632 salary profiles (last updated Nov 01 2023)",4 out of 5,(829),"['Female', 'Male', 'Prefer to self-define']","['54.1%', '44.8%', '1.0%']","This data is based on 2,565 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Corporate_Controller/Salary,Average Corporate Controller Salary,"$111,643",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼31%', '▼20%', '▼7%', '▲6%', '▲3%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$75k - $162k', '$3k - $31k', '$2k - $19k', '$2k - $30k', '$76k - $177k']","Based on 5,483 salary profiles (last updated Nov 20 2023)",4.2 out of 5,(585),"['Female', 'Male', 'Prefer to self-define']","['56.2%', '42.7%', '1.1%']","This data is based on 2,149 survey responses. Learn more about the gender pay gap."
https://www.payscale.com/research/US/Job/Accounting-and-Finance,https://www.payscale.com/research/US/Job=Finance_Director/Salary,Average Finance Director Salary,"$119,547",/ year,"['Entry Level', 'Early Career', 'Mid Career', 'Late Career', 'Experienced']","['▼32%', '▼30%', '▼6%', '▲8%', '▲4%']","['Base Salary', 'Bonus', 'Profit Sharing', 'Commission', 'Total Pay']","['$68k - $172k', '$4k - $38k', '$2k - $25k', '$2k - $101k', '$67k - $195k']","Based on 5,326 salary profiles (last updated Nov 01 2023)",4.1 out of 5,(609),"['Female', 'Male', 'Prefer to self-define']","['53.6%', '45.3%', '1.0%']","This data is based on 2,102 survey responses. Learn more about the gender pay gap."
