name,job_title,median_salary,profile_count
Intel Corporation,ASIC_Design_Engineer,111098.9,9
Lockheed Martin Corp,ASIC_Design_Engineer,78507.31,8
"Advanced Micro Devices, Inc.",ASIC_Design_Engineer,103000.0,6
Broadcom Corporation,ASIC_Design_Engineer,110000.0,5
"Juniper Networks, Inc.",ASIC_Engineer,123804.3,7
Nvidia Corp,ASIC_Engineer,120767.89,5
Northrop Grumman Corporation,ASP.NET_Developer,75000.0,8
Mercer LLC,Actuarial_Associate,91966.45,6
Prudential Financial Inc.,Actuarial_Associate,75800.0,6
PricewaterhouseCoopers,Actuarial_Associate,64500.0,5
Prudential,Actuarial_Associate,71468.53,5
"Buck Consultants, LLC",Actuarial_Associate,67005.38,5
Geico,Actuarial_Associate,71257.5,4
"Aetna, Inc.",Actuarial_Consultant,72350.0,7
Mercer LLC,Actuarial_Consultant,93350.34,6
Willis Towers Watson,Actuarial_Consultant,116874.08,5
EY (Ernst & Young),Actuarial_Consultant,96708.19,5
"The Travelers Companies, Inc.",Actuary,118827.86,16
Willis Towers Watson,Actuary,104646.33,16
"Humana, Inc.",Actuary,114873.97,14
Scor Reinsurance Company,Actuary,135000.0,11
Mercer LLC,Actuary,120800.0,10
Liberty Mutual Insurance Group,Actuary,129024.07,9
"Milliman, Incorporated",Actuary,101294.06,9
Prudential Financial Inc.,Actuary,129753.35,7
New York Life Insurance Company,Actuary,154913.11,7
"Aetna, Inc.",Actuary,112000.0,7
Anthem,Actuary,103446.68,7
AON Inc,Actuary,73455.85,7
Geico,Actuary,75750.0,7
Allstate,Actuary,66253.91,6
PricewaterhouseCoopers,Actuary,65496.18,6
UnitedHealth Group,Actuary,115000.0,6
State Farm Insurance Company,Actuary,76225.49,6
The Hanover Insurance Company,Actuary,100500.0,6
The Northwestern Mutual Life Insurance Company,Actuary,133408.24,5
Nationwide Mutual Insurance Company,Actuary,102750.0,5
Towers Watson,Actuary,101500.0,5
Transamerica,Actuary,82000.0,5
Principal Financial Group,Actuary,118396.62,5
Prudential,Actuary,105000.0,5
MassMutual Financial Group,Actuary,129913.61,5
Metropolitan Life Insurance Company (MetLife),Actuary,110850.0,5
"Aon Consulting, Inc.",Actuary,110000.0,5
Centene Corporation,Actuary,103272.29,5
ACE Group,Actuary,92171.18,3
Relias Learning,Alliance_Manager%2C_Enterprise_Software,70000.0,5
The Boeing Company,Analyst_Methods_%26_Procedures,75000.0,5
AmeriHealth Mercy,Analytics_Manager,91000.0,13
"General Mills, Inc.",Analytics_Manager,135000.0,11
Mediacom,Analytics_Manager,100000.0,10
J.P. Morgan Chase & Co. (JPMCC),Analytics_Manager,109373.52,10
"Mars, Inc.",Analytics_Manager,105000.0,9
Medstar Health,Analytics_Manager,97435.9,9
"Charter Communications, Inc.",Analytics_Manager,85819.91,9
Accenture,Analytics_Manager,116516.9,9
Deloitte,Analytics_Manager,123500.0,8
Avalara,Analytics_Manager,100000.0,8
"Expedia, Inc.",Analytics_Manager,110446.48,8
Synchrony Financial,Analytics_Manager,82000.0,8
"Nike, Inc.",Analytics_Manager,113991.23,7
"Pinnacle Entertainment, Inc.",Analytics_Manager,84000.0,7
CVS Caremark Corporation,Analytics_Manager,89713.65,7
"22Squared, Inc.",Analytics_Manager,92500.0,7
Amerihealth Caritas,Analytics_Manager,100000.0,6
Ally Financial Inc.,Analytics_Manager,106823.31,6
eBay Inc.,Analytics_Manager,122500.0,6
"Cardinal Health, Inc.",Analytics_Manager,105000.0,6
Publicis,Analytics_Manager,103647.41,6
Sears Holdings Corporation,Analytics_Manager,82722.96,6
Starcom Worldwide,Analytics_Manager,82330.1,6
"Nordstrom, Inc.",Analytics_Manager,128217.29,6
ICF International,Analytics_Manager,98307.22,6
"Merkle, Inc.",Analytics_Manager,119219.39,6
Wells Fargo & Co.,Analytics_Manager,125556.29,6
West Coast University,Analytics_Manager,63000.0,6
The Home Depot Inc.,Analytics_Manager,87196.94,5
"T-Mobile, Inc.",Analytics_Manager,103000.0,5
Walgreen Co.,Analytics_Manager,92989.25,5
Morgan Stanley,Analytics_Manager,90000.0,5
MRM Worldwide,Analytics_Manager,89100.0,5
Nespresso,Analytics_Manager,112375.0,5
General Electric Co (GE),Analytics_Manager,100795.42,5
CBRE Group,Analytics_Manager,111000.0,5
American Airlines,Analytics_Manager,100600.0,5
"Acosta Sales & Marketing Company, Inc.",Analytics_Manager,94000.0,5
"ADT Security Services, Inc.",Analytics_Manager,120000.0,5
"Aetna, Inc.",Analytics_Manager,108000.0,5
Allen & Gerritsen,Analytics_Manager,91107.41,5
Bottle Rocket Apps,Android_Software_Developer,71898.51,13
Amazon.com Inc,Android_Software_Developer,127500.0,6
Metova,Android_Software_Developer,55621.7,6
Tata Consultancy Services Limited,Android_Software_Developer,75250.0,5
WillowTree Apps,Android_Software_Developer,89333.92,5
Yelp! Inc.,Android_Software_Developer,118097.37,5
Facebook Inc,Android_Software_Developer,100000.0,5
"Realpage, Inc.",Application_Architect,112444.44,6
IBM Global Services,Application_Architect,105680.62,5
International Business Machines (IBM) Corp.,Application_Architect,98800.0,4
J.P. Morgan Chase & Co. (JPMCC),Application_Developer,88575.04,39
AT&T Inc.,Application_Developer,69502.9,23
Accenture,Application_Developer,72876.82,18
Bank of America Corp. (BOFA),Application_Developer,98000.0,15
Intel Corporation,Application_Developer,78000.0,15
PennyMac,Application_Developer,76604.35,13
"Automatic Data Processing, Inc. (ADP)",Application_Developer,79384.02,13
Sprint Nextel Corporation,Application_Developer,78540.0,13
Principal Financial Group,Application_Developer,69242.38,13
CGI Group Inc.,Application_Developer,54610.4,12
International Business Machines (IBM) Corp.,Application_Developer,64862.5,12
