state,city,job_title,median_salary,profile_count
 New York,New York,ABAP_Developer,73758.95,10
 Georgia,Atlanta,ABAP_Developer,80000.0,8
 Minnesota,Minneapolis,ABAP_Developer,104963.73,5
 District of Columbia,Washington,ABAP_Developer,67250.0,5
 Texas,Dallas,ABAP_Developer,105500.0,4
 Pennsylvania,Philadelphia,ABAP_Developer,82500.0,2
 California,San Jose,ASIC_Design_Engineer,118554.93,17
 Oregon,Hillsboro,ASIC_Design_Engineer,100824.99,11
 Idaho,Boise,ASIC_Design_Engineer,74182.59,8
 California,Santa Clara,ASIC_Design_Engineer,125000.0,7
 California,Irvine,ASIC_Design_Engineer,116858.97,6
 California,Los Angeles,ASIC_Design_Engineer,105000.0,6
 Texas,Austin,ASIC_Design_Engineer,96984.05,6
 Massachusetts,Boston,ASIC_Design_Engineer,125000.0,5
 California,San Diego,ASIC_Design_Engineer,106766.36,5
 California,Sunnyvale,ASIC_Design_Engineer,128000.0,5
 Florida,Orlando,ASIC_Design_Engineer,87464.15,5
 Colorado,Fort Collins,ASIC_Design_Engineer,94125.95,4
 Arizona,Phoenix,ASIC_Design_Engineer,78850.0,4
 California,Folsom,ASIC_Design_Engineer,122142.4,4
 Texas,Dallas,ASIC_Design_Engineer,93500.0,4
 New York,New York,ASIC_Design_Engineer,100000.0,3
 North Carolina,Raleigh,ASIC_Design_Engineer,79479.59,3
 Ohio,Cleveland,ASIC_Design_Engineer,83000.0,3
 California,Cupertino,ASIC_Design_Engineer,141000.0,3
 California,San Francisco,ASIC_Design_Engineer,100000.0,3
 Colorado,Colorado Springs,ASIC_Design_Engineer,100000.0,3
 Maryland,Linthicum Heights,ASIC_Design_Engineer,104761.9,2
 California,Sacramento,ASIC_Design_Engineer,113859.65,2
 California,California City,ASIC_Design_Engineer,75000.0,2
 Oregon,Portland,ASIC_Design_Engineer,85000.0,2
 Massachusetts,Boxborough,ASIC_Design_Engineer,122500.0,2
 Massachusetts,Hudson,ASIC_Design_Engineer,98700.0,2
 Minnesota,Minneapolis,ASIC_Design_Engineer,112920.35,2
 California,San Jose,ASIC_Engineer,123000.0,9
 California,Sunnyvale,ASIC_Engineer,125683.95,7
 California,Santa Clara,ASIC_Engineer,120479.82,5
 California,Fremont,ASIC_Engineer,93480.6,4
 California,San Diego,ASIC_Engineer,137568.93,3
 Minnesota,Minneapolis,ASIC_Engineer,88564.5,2
 Texas,Austin,ASIC_Engineer,97500.0,2
 California,Los Angeles,ASIC_Engineer,107000.0,2
 Georgia,Atlanta,ASP.NET_Developer,70000.0,14
 New York,New York,ASP.NET_Developer,75000.0,13
 California,Los Angeles,ASP.NET_Developer,67756.01,8
 Michigan,Midland,ASP.NET_Developer,56010.21,7
 Texas,Houston,ASP.NET_Developer,70000.0,7
 Wisconsin,Milwaukee,,,7
 Texas,Dallas,ASP.NET_Developer,68985.51,6
 North Carolina,Charlotte,ASP.NET_Developer,85000.0,5
 Arizona,Phoenix,ASP.NET_Developer,60000.0,5
 Colorado,Denver,ASP.NET_Developer,58000.0,5
 District of Columbia,Washington,ASP.NET_Developer,85000.0,5
 Illinois,Chicago,ASP.NET_Developer,85000.0,5
 Indiana,Indianapolis,ASP.NET_Developer,70000.0,5
 Massachusetts,Boston,ASP.NET_Developer,78500.0,3
 Ohio,Cleveland,ASP.NET_Developer,63250.0,3
 New York,New York,Actuarial_Associate,82481.84,24
 Pennsylvania,Philadelphia,Actuarial_Associate,96403.94,10
 New Jersey,Newark,Actuarial_Associate,69977.0,10
 Illinois,Chicago,Actuarial_Associate,66437.5,8
 Iowa,West Des Moines,Actuarial_Associate,84822.94,7
 Iowa,Des Moines,Actuarial_Associate,78500.0,6
 Connecticut,Hartford,Actuarial_Associate,77206.62,6
 Georgia,Atlanta,Actuarial_Associate,77852.45,6
 Massachusetts,Boston,Actuarial_Associate,73150.0,6
 Minnesota,Minneapolis,Actuarial_Associate,78990.99,5
 Texas,Houston,Actuarial_Associate,58495.73,5
 Utah,Salt Lake City,Actuarial_Associate,97500.0,5
 Kansas,Overland Park,Actuarial_Associate,85764.0,5
 New Jersey,Secaucus,Actuarial_Associate,64887.52,4
 Minnesota,St. Paul,Actuarial_Associate,65111.35,3
 Washington,Seattle,Actuarial_Associate,76645.54,3
 Wisconsin,Madison,Actuarial_Associate,95500.0,3
 Texas,Dallas,Actuarial_Associate,63300.0,3
 California,San Francisco,Actuarial_Associate,82525.0,2
 District of Columbia,Washington,Actuarial_Associate,73267.0,2
 Florida,Tampa,Actuarial_Associate,63750.0,2
 New York,New York,Actuarial_Consultant,102177.8,19
 Illinois,Chicago,Actuarial_Consultant,88437.17,18
 Georgia,Atlanta,Actuarial_Consultant,98306.96,10
 Minnesota,Minneapolis,Actuarial_Consultant,89600.0,8
 Connecticut,Hartford,Actuarial_Consultant,77569.13,5
 Pennsylvania,Pittsburgh,Actuarial_Consultant,80987.65,4
 Texas,Houston,Actuarial_Consultant,90000.0,3
 North Carolina,Charlotte,Actuarial_Consultant,86000.0,3
 Ohio,Cleveland,Actuarial_Consultant,76000.0,3
 District of Columbia,Washington,Actuarial_Consultant,100000.0,3
 California,Los Angeles,Actuarial_Consultant,100000.0,2
 Pennsylvania,Philadelphia,Actuarial_Consultant,75500.0,2
 Ohio,Columbus,Actuarial_Consultant,84850.0,2
 California,San Francisco,Actuarial_Consultant,110000.0,2
 Washington,Seattle,Actuarial_Consultant,74875.0,2
 Florida,Boca Raton,Actuarial_Consultant,113607.59,2
 New York,New York,Actuary,127360.08,85
 Illinois,Chicago,Actuary,96750.17,40
 Iowa,Des Moines,Actuary,100582.86,31
 Massachusetts,Boston,Actuary,137330.41,21
 Pennsylvania,Philadelphia,Actuary,111311.4,21
 Washington,Seattle,Actuary,104285.14,21
 Minnesota,St. Paul,Actuary,116171.82,19
 Minnesota,Minneapolis,Actuary,86954.02,19
 Georgia,Atlanta,Actuary,116875.42,16
 California,San Diego,Actuary,127969.77,16
 California,San Francisco,Actuary,113713.57,16
 Ohio,Columbus,Actuary,97959.18,15
 Texas,Dallas,Actuary,100699.75,15
 Pennsylvania,Pittsburgh,Actuary,82041.88,14
 Oregon,Portland,Actuary,90182.29,14
 California,Los Angeles,Actuary,88982.67,13
 Indiana,Indianapolis,Actuary,108479.26,13
 Kentucky,Louisville,Actuary,115722.0,12
 Louisiana,Baton Rouge,Actuary,65464.28,12
 Colorado,Denver,Actuary,107440.98,12
 Connecticut,Hartford,Actuary,136518.44,11
 North Carolina,Charlotte,Actuary,102912.62,11
 Wisconsin,Madison,Actuary,78210.86,11
 Florida,Tampa,Actuary,80000.0,11
 District of Columbia,Washington,Actuary,94497.35,10
 Arizona,Phoenix,Actuary,111479.82,10
 Illinois,Bloomington,Actuary,72246.42,8
 Ohio,Cincinnati,Actuary,57493.26,8
 Nebraska,Omaha,Actuary,92435.0,8
 Virginia,Richmond,Actuary,78200.0,8
 Texas,Plano,Actuary,67190.7,8
 Texas,Houston,Actuary,90329.67,7
 Michigan,Detroit,Actuary,62500.0,7
 Florida,Miami,Actuary,74059.64,7
 Connecticut,Stamford,Actuary,84536.22,7
 California,San Jose,Actuary,80000.0,7
 Ohio,Cleveland,Actuary,93301.15,7
 Massachusetts,Springfield,Actuary,120000.0,7
 Massachusetts,Worcester,Actuary,97672.63,7
 Maryland,Baltimore,Actuary,95476.18,7
 Florida,Orlando,Actuary,116330.66,7
 Florida,Jacksonville,Actuary,109500.0,6
 Indiana,Carmel,Actuary,79200.0,6
 Iowa,West Des Moines,Actuary,78343.95,6
 Missouri,St Louis,Actuary,89000.0,6
 North Carolina,Raleigh,Actuary,131519.0,6
 Michigan,Lansing,Actuary,60000.0,6
 Pennsylvania,Harrisburg,Actuary,58250.0,6
 Maine,Portland,Actuary,54500.0,6
 Indiana,Fort Wayne,Actuary,105000.0,6
 Wisconsin,Milwaukee,Actuary,70623.0,5
 Texas,San Antonio,Actuary,67000.0,5
 Vermont,Montpelier,Actuary,123000.0,5
 Virginia,Arlington,Actuary,121224.16,5
 Utah,Salt Lake City,Actuary,85000.0,5
 Texas,Fort Worth,Actuary,60000.0,5
 Tennessee,Memphis,Actuary,84250.0,5
 Tennessee,Nashville,Actuary,90276.24,5
 Texas,Austin,Actuary,128380.88,5
 New Jersey,Newark,Actuary,118503.93,5
 New York,Buffalo,Actuary,80000.0,5
 New York,Rochester,Actuary,62000.0,5
 Missouri,St. Louis,Actuary,107500.0,5
 Iowa,Cedar Rapids,Actuary,103000.0,5
 Florida,Boca Raton,Actuary,80000.0,5
 California,Aliso Viejo,Actuary,108590.86,4
 Illinois,Northbrook,Actuary,101500.0,4
 New York,Syracuse,Actuary,44664.81,4
 New York,Albany,Actuary,63500.0,4
 Maryland,Chevy Chase,Actuary,59090.86,4
 Tennessee,Chattanooga,Actuary,130000.0,3
 Washington,Washington,Actuary,200000.0,3
 Texas,Irving,Actuary,119830.86,3
 Minnesota,Minnetonka,Actuary,110500.45,3
 Michigan,Grand Rapids,Actuary,69999.0,3
 Pennsylvania,Erie,Actuary,50000.0,3
 Pennsylvania,Lancaster,Actuary,30520.94,3
 Ohio,Akron,Actuary,89319.96,3
 Illinois,Schaumburg,Actuary,120000.0,3
 Kentucky,Lexington,Actuary,64139.0,3
 Arizona,Scottsdale,Actuary,76000.0,3
 Arkansas,Little Rock,Actuary,82000.0,3
 Florida,Florida,Actuary,150000.0,3
 Florida,Fort Lauderdale,Actuary,100000.0,3
 Delaware,Wilmington,Actuary,106990.65,2
 California,Sacramento,Actuary,76500.0,2
 California,Irvine,Actuary,92500.0,2
 California,Walnut Creek,Actuary,146100.0,2
 Colorado,Colorado Springs,Actuary,52500.0,2
 Kansas,Kansas City,Actuary,160000.0,2
 Kansas,Overland Park,Actuary,67137.55,2
 Illinois,Springfield,Actuary,135000.0,2
 Illinois,Naperville,Actuary,121893.0,2
 Hawaii,Honolulu,Actuary,65000.0,2
 Pennsylvania,Plymouth Meeting,Actuary,144827.59,2
 South Carolina,Greenville,Actuary,70000.0,2
 Texas,El Paso,Actuary,50000.0,2
 Ohio,Toledo,Actuary,62400.0,2
 Oklahoma,Oklahoma City,Actuary,89500.0,2
 Massachusetts,Wellesley,Actuary,73000.0,2
 Missouri,Springfield,Actuary,49494.95,2
 New Jersey,Jersey City,Actuary,103000.0,2
 New Jersey,Princeton,Actuary,99200.0,2
 North Carolina,Winston-Salem,Actuary,82007.5,2
 North Carolina,Greensboro,Actuary,93875.6,2
 Maryland,Rockville,Actuary,125000.0,2
 New York,New York,Alliance_Manager%2C_Enterprise_Software,101736.48,8
 California,San Francisco,Alliance_Manager%2C_Enterprise_Software,120000.0,5
 Massachusetts,Boston,Alliance_Manager%2C_Enterprise_Software,122641.26,5
 Washington,Seattle,Analyst_Methods_%26_Procedures,66466.17,3
 Florida,Miami,Analyst_Methods_%26_Procedures,57500.0,2
 Illinois,Springfield,Analyst_Methods_%26_Procedures,50300.0,2
 Missouri,Neosho,Analyst_Methods_%26_Procedures,46500.0,2
 New York,Montebello,Analyst_Methods_%26_Procedures,55000.0,2
 New York,New York,Analytical_Strategist,75000.0,9
