name,job_title,median_salary,profile_count
SAP ABAP,ABAP_Developer,97551.68,31
SAP Enterprise Resource Planning (ERP),ABAP_Developer,80000.0,13
Advanced Business Application Programming (ABAP) Language,ABAP_Developer,80000.0,12
Object Oriented Programming (OOP),ABAP_Developer,85000.0,11
ABAP/4,ABAP_Developer,72500.0,7
SAP Materials Management (SAP MM),ABAP_Developer,93368.98,6
SAP Sales and Distribution (SAP SD),ABAP_Developer,90000.0,5
SQL,ABAP_Developer,60000.0,5
SAP Business Workflow,ABAP_Developer,71898.51,5
"Engineering Design, Semiconductor",ASIC_Design_Engineer,115225.5,72
Verilog,ASIC_Design_Engineer,108107.62,50
Field-Programmable Gate Array (FPGA),ASIC_Design_Engineer,112676.47,29
Digital Design,ASIC_Design_Engineer,103280.51,26
Verilog VHDL,ASIC_Design_Engineer,114724.43,24
Cadence Electronic Design Software,ASIC_Design_Engineer,97734.9,22
Perl,ASIC_Design_Engineer,112940.45,12
Python,ASIC_Design_Engineer,91890.89,8
Design,ASIC_Design_Engineer,95000.0,8
VHSIC Hardware Description Language (VHDL),ASIC_Design_Engineer,92000.0,7
C Programming Language,ASIC_Design_Engineer,94614.93,6
Tool Command Language (TcL),ASIC_Design_Engineer,118677.42,6
Verilog,ASIC_Engineer,116546.26,19
Digital Design,ASIC_Engineer,121000.0,15
Simulation,ASIC_Engineer,128935.69,12
"Engineering Design, Semiconductor",ASIC_Engineer,110000.0,8
Perl,ASIC_Engineer,123000.0,7
VHSIC Hardware Description Language (VHDL),ASIC_Engineer,110000.0,7
Verilog VHDL,ASIC_Engineer,132500.0,5
JavaScript,ASP.NET_Developer,66013.01,60
Model-view-controller (MVC),ASP.NET_Developer,71384.77,48
ASP.NET Framework,ASP.NET_Developer,74068.42,46
Microsoft SQL Server,ASP.NET_Developer,71115.85,43
C# Programming Language,ASP.NET_Developer,72573.61,42
jQuery,ASP.NET_Developer,62142.48,39
Cascading Style Sheets (CSS),ASP.NET_Developer,68163.82,33
VB.Net,ASP.NET_Developer,68985.51,23
.NET,ASP.NET_Developer,65899.22,19
HTML,ASP.NET_Developer,62500.0,9
HTML5,ASP.NET_Developer,67407.41,6
Angular.js,ASP.NET_Developer,55000.0,5
C++ Programming Language,ASP.NET_Developer,70733.47,5
SQL,ASP.NET_Developer,50000.0,5
Microsoft Excel,Actuarial_Associate,80904.69,92
Data Analysis,Actuarial_Associate,80109.86,63
VBA,Actuarial_Associate,73338.14,31
Financial Modeling,Actuarial_Associate,81084.91,28
SQL,Actuarial_Associate,82790.8,18
Data Modeling,Actuarial_Associate,77582.23,17
Microsoft Office,Actuarial_Associate,84178.53,12
Problem Solving,Actuarial_Associate,88075.94,12
Valuation,Actuarial_Associate,85000.0,7
Financial Analysis,Actuarial_Associate,86526.07,6
Pricing,Actuarial_Associate,87628.8,6
Insurance,Actuarial_Associate,83988.1,5
SAS (Statistical Analysis System),Actuarial_Associate,76000.0,5
Statistical Analysis,Actuarial_Associate,95000.0,3
Microsoft Excel,Actuarial_Consultant,99859.67,76
Data Analysis,Actuarial_Consultant,97374.64,63
Insurance,Actuarial_Consultant,99758.38,38
Risk Consulting,Actuarial_Consultant,116439.03,33
Financial Modeling,Actuarial_Consultant,120000.0,17
Pricing,Actuarial_Consultant,104761.9,17
Data Modeling,Actuarial_Consultant,88820.22,16
Statistical Analysis,Actuarial_Consultant,93794.97,11
Valuation,Actuarial_Consultant,113616.17,9
