name,displayName,url,profileCount,range,isEstimated
Intel Corporation,,/research/US/Job=ASIC_Design_Engineer/Salary/c17af18c/Intel-Corporation,9,{'50': 111098.9},
Lockheed Martin Corp,,/research/US/Job=ASIC_Design_Engineer/Salary/f8336ea4/Lockheed-Martin-Corp,8,{'50': 78507.31},
"Advanced Micro Devices, Inc.",,/research/US/Job=ASIC_Design_Engineer/Salary/95250e67/Advanced-Micro-Devices-Inc.,6,{'50': 103000},
Broadcom Corporation,,/research/US/Job=ASIC_Design_Engineer/Salary/7d0648c3/Broadcom-Corporation,5,{'50': 110000},
"Juniper Networks, Inc.",,/research/US/Job=ASIC_Engineer/Salary/178df232/Juniper-Networks-Inc.,7,{'50': 123804.3},
Nvidia Corp,,/research/US/Job=ASIC_Engineer/Salary/78cafa69/Nvidia-Corp,5,{'50': 120767.89},
Northrop Grumman Corporation,,/research/US/Job=ASP.NET_Developer/Salary/b3cb8270/Northrop-Grumman-Corporation,8,{'50': 75000},
Mercer LLC,,/research/US/Job=Actuarial_Associate/Salary/1009fb68/Mercer-LLC,6,{'50': 91966.45},
Prudential Financial Inc.,,/research/US/Job=Actuarial_Associate/Salary/8e1a5666/Prudential-Financial-Inc.,6,{'50': 75800},
PricewaterhouseCoopers,,/research/US/Job=Actuarial_Associate/Salary/4e2538c2/PricewaterhouseCoopers,5,{'50': 64500},
Prudential,,/research/US/Job=Actuarial_Associate/Salary/5d34f9d4/Prudential,5,{'50': 71468.53},
"Buck Consultants, LLC",,/research/US/Job=Actuarial_Associate/Salary/6f4dcf8b/Buck-Consultants-LLC,5,{'50': 67005.38},
Geico,,/research/US/Job=Actuarial_Associate/Salary/e931ac79/Geico,4,{'50': 71257.5},
"Aetna, Inc.",,/research/US/Job=Actuarial_Consultant/Salary/ddddc56b/Aetna-Inc.,7,{'50': 72350},
Mercer LLC,,/research/US/Job=Actuarial_Consultant/Salary/1da29320/Mercer-LLC,6,{'50': 93350.34},
Willis Towers Watson,,/research/US/Job=Actuarial_Consultant/Salary/609215dc/Willis-Towers-Watson,5,{'50': 116874.08},
EY (Ernst & Young),,/research/US/Job=Actuarial_Consultant/Salary/846033de/EY-Ernst-%26-Young,5,{'50': 96708.19},
"The Travelers Companies, Inc.",,/research/US/Job=Actuary/Salary/464b770a/The-Travelers-Companies-Inc.,16,{'50': 118827.86},
Willis Towers Watson,,/research/US/Job=Actuary/Salary/a4691b97/Willis-Towers-Watson,16,{'50': 104646.33},
"Humana, Inc.",,/research/US/Job=Actuary/Salary/381d919c/Humana-Inc.,14,{'50': 114873.97},
Scor Reinsurance Company,,/research/US/Job=Actuary/Salary/01c79b98/Scor-Reinsurance-Company,11,{'50': 135000},
