name,displayName,url,profileCount,range,isEstimated
Less than 1 year,,/research/US/Job=ABAP_Developer/Salary/6b5bb51d/Entry-Level,5,{'50': 57391.3},
1-4 years,,/research/US/Job=ABAP_Developer/Salary/6b5bb51d/Early-Career,10,{'50': 72696.54},
5-9 years,,/research/US/Job=ABAP_Developer/Salary/53570022/Mid-Career,17,{'50': 95595.1},
10-19 years,,/research/US/Job=ABAP_Developer/Salary/637c754e/Experienced,14,{'50': 111411.79},
20 years or more,,/research/US/Job=ABAP_Developer/Salary/80a9e6f8/Late-Career,14,{'50': 101119.65},
Less than 1 year,,/research/US/Job=ASIC_Design_Engineer/Salary/6e36a8b9/Entry-Level,17,{'50': 93044.53},
1-4 years,,/research/US/Job=ASIC_Design_Engineer/Salary/6e36a8b9/Early-Career,42,{'50': 98284.54},
5-9 years,,/research/US/Job=ASIC_Design_Engineer/Salary/db798dd0/Mid-Career,25,{'50': 119809.92},
10-19 years,,/research/US/Job=ASIC_Design_Engineer/Salary/fa73ff29/Experienced,14,{'50': 134455.56},
20 years or more,,/research/US/Job=ASIC_Design_Engineer/Salary/ff40c894/Late-Career,11,{'50': 144416.43},
Less than 1 year,,/research/US/Job=ASIC_Engineer/Salary/b6e6b131/Entry-Level,5,{'50': 104963.73},
1-4 years,,/research/US/Job=ASIC_Engineer/Salary/b6e6b131/Early-Career,10,{'50': 107886.05},
5-9 years,,/research/US/Job=ASIC_Engineer/Salary/b19a858c/Mid-Career,10,{'50': 121337.89},
10-19 years,,/research/US/Job=ASIC_Engineer/Salary/bf3e3507/Experienced,5,{'50': 127500},
20 years or more,,/research/US/Job=ASIC_Engineer/Salary/3083e7fe/Late-Career,5,{'50': 140000},
Less than 1 year,,/research/US/Job=ASP.NET_Developer/Salary/30c02985/Entry-Level,10,{'50': 50000},
1-4 years,,/research/US/Job=ASP.NET_Developer/Salary/30c02985/Early-Career,37,{'50': 68806.04},
5-9 years,,/research/US/Job=ASP.NET_Developer/Salary/a89cf3d8/Mid-Career,21,{'50': 81973.81},
10-19 years,,/research/US/Job=ASP.NET_Developer/Salary/b8794f07/Experienced,29,{'50': 85000},
20 years or more,,/research/US/Job=ASP.NET_Developer/Salary/95fd5692/Late-Career,7,{'50': 88000},
Less than 1 year,,/research/US/Job=Actuarial_Associate/Salary/8eecdf59/Entry-Level,16,{'50': 69531.41},
1-4 years,,/research/US/Job=Actuarial_Associate/Salary/8eecdf59/Early-Career,88,{'50': 82913.97},
5-9 years,,/research/US/Job=Actuarial_Associate/Salary/0cd25ba7/Mid-Career,29,{'50': 84801.62},
10-19 years,,/research/US/Job=Actuarial_Associate/Salary/fc317e00/Experienced,5,{'50': 104750},
Less than 1 year,,/research/US/Job=Actuarial_Consultant/Salary/69dc0e10/Entry-Level,12,{'50': 74225.03},
1-4 years,,/research/US/Job=Actuarial_Consultant/Salary/69dc0e10/Early-Career,48,{'50': 92755.6},
5-9 years,,/research/US/Job=Actuarial_Consultant/Salary/cb7f31f5/Mid-Career,44,{'50': 118423.57},
10-19 years,,/research/US/Job=Actuarial_Consultant/Salary/6e2211e6/Experienced,17,{'50': 127833.13},
20 years or more,,/research/US/Job=Actuarial_Consultant/Salary/6e6580f1/Late-Career,7,{'50': 138900},
Less than 1 year,,/research/US/Job=Actuary/Salary/acb1fb4b/Entry-Level,104,{'50': 65568.83},
1-4 years,,/research/US/Job=Actuary/Salary/acb1fb4b/Early-Career,215,{'50': 87536.5},
5-9 years,,/research/US/Job=Actuary/Salary/f95b0f0e/Mid-Career,270,{'50': 114108.43},
10-19 years,,/research/US/Job=Actuary/Salary/94983785/Experienced,149,{'50': 136240.85},
20 years or more,,/research/US/Job=Actuary/Salary/25ba7931/Late-Career,55,{'50': 152350.91},
10-19 years,,/research/US/Job=Administrator%2C_Lotus_Notes/Salary/4fc63b79/Experienced,7,{'50': 76938.27},
20 years or more,,/research/US/Job=Administrator%2C_Lotus_Notes/Salary/f577f831/Late-Career,6,{'50': 90000},
1-4 years,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/93740f49/Early-Career,11,{'50': 92494.85},
5-9 years,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/096145dc/Mid-Career,9,{'50': 95000},
10-19 years,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/9734e963/Experienced,7,{'50': 90000},
20 years or more,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/0549df8b/Late-Career,5,{'50': 124391.25},
Less than 1 year,,/research/US/Job=Analyst_Methods_%26_Procedures/Salary/4890cfa3/Entry-Level,8,{'50': 63434.47},
1-4 years,,/research/US/Job=Analyst_Methods_%26_Procedures/Salary/4890cfa3/Early-Career,6,{'50': 66565.05},
5-9 years,,/research/US/Job=Analyst_Methods_%26_Procedures/Salary/006c1130/Mid-Career,9,{'50': 65000},
10-19 years,,/research/US/Job=Analyst_Methods_%26_Procedures/Salary/fb2ff40a/Experienced,6,{'50': 70000},
20 years or more,,/research/US/Job=Analyst_Methods_%26_Procedures/Salary/256a6145/Late-Career,5,{'50': 104761.9},
1-4 years,,/research/US/Job=Analytical_Strategist/Salary/8928c58d/Early-Career,35,{'50': 65661.12},
5-9 years,,/research/US/Job=Analytical_Strategist/Salary/310f7d6a/Mid-Career,10,{'50': 76748.39},
10-19 years,,/research/US/Job=Analytical_Strategist/Salary/561cb47f/Experienced,5,{'50': 104000},
Less than 1 year,,/research/US/Job=Analytics_Manager/Salary/3a7b0911/Entry-Level,5,{'50': 77912.1},
1-4 years,,/research/US/Job=Analytics_Manager/Salary/3a7b0911/Early-Career,620,{'50': 94185.68},
5-9 years,,/research/US/Job=Analytics_Manager/Salary/ded90771/Mid-Career,1287,{'50': 108388.91},
10-19 years,,/research/US/Job=Analytics_Manager/Salary/983aabf9/Experienced,581,{'50': 115587.5},
20 years or more,,/research/US/Job=Analytics_Manager/Salary/78ea097a/Late-Career,103,{'50': 120353.53},
Less than 1 year,,/research/US/Job=Android_Software_Developer/Salary/4bc79e6e/Entry-Level,43,{'50': 72446.94},
1-4 years,,/research/US/Job=Android_Software_Developer/Salary/4bc79e6e/Early-Career,315,{'50': 93760.47},
5-9 years,,/research/US/Job=Android_Software_Developer/Salary/46d1c6fe/Mid-Career,149,{'50': 103526.79},
10-19 years,,/research/US/Job=Android_Software_Developer/Salary/96a1eb37/Experienced,36,{'50': 126151.54},
20 years or more,,/research/US/Job=Android_Software_Developer/Salary/5cac7573/Late-Career,9,{'50': 98372.81},
1-4 years,,/research/US/Job=Android_Software_Engineer/Salary/9d638c77/Early-Career,68,{'50': 96264.76},
5-9 years,,/research/US/Job=Android_Software_Engineer/Salary/966fa6ef/Mid-Career,42,{'50': 117916.22},
10-19 years,,/research/US/Job=Android_Software_Engineer/Salary/f33f1697/Experienced,6,{'50': 113599.29},
1-4 years,,/research/US/Job=Application_Architect/Salary/d6f81eea/Early-Career,14,{'50': 89926.01},
5-9 years,,/research/US/Job=Application_Architect/Salary/e583fb44/Mid-Career,55,{'50': 114579},
10-19 years,,/research/US/Job=Application_Architect/Salary/2a0852c4/Experienced,119,{'50': 122233.48},
20 years or more,,/research/US/Job=Application_Architect/Salary/4643cd0f/Late-Career,72,{'50': 131916.16},
Less than 1 year,,/research/US/Job=Application_Developer/Salary/5394a3ae/Entry-Level,200,{'50': 62142.37},
1-4 years,,/research/US/Job=Application_Developer/Salary/5394a3ae/Early-Career,1361,{'50': 70352.3},
5-9 years,,/research/US/Job=Application_Developer/Salary/be5b030e/Mid-Career,565,{'50': 84473.56},
10-19 years,,/research/US/Job=Application_Developer/Salary/adbd3753/Experienced,290,{'50': 92218.42},
20 years or more,,/research/US/Job=Application_Developer/Salary/3d5bec83/Late-Career,162,{'50': 97489.68},
1-4 years,,/research/US/Job=Application_Integration_Engineer/Salary/accff16b/Early-Career,7,{'50': 69272.36},
5-9 years,,/research/US/Job=Application_Integration_Engineer/Salary/f45e4cf3/Mid-Career,5,{'50': 76000},
10-19 years,,/research/US/Job=Application_Integration_Engineer/Salary/724175fc/Experienced,5,{'50': 96230.25},
Less than 1 year,,/research/US/Job=Application_Support_Analyst/Salary/b2c3928b/Entry-Level,46,{'50': 58007.68},
1-4 years,,/research/US/Job=Application_Support_Analyst/Salary/b2c3928b/Early-Career,473,{'50': 62400.61},
5-9 years,,/research/US/Job=Application_Support_Analyst/Salary/ef5273d2/Mid-Career,301,{'50': 70641.17},
10-19 years,,/research/US/Job=Application_Support_Analyst/Salary/f2d2c28f/Experienced,207,{'50': 77986.85},
20 years or more,,/research/US/Job=Application_Support_Analyst/Salary/ccabd1c8/Late-Career,78,{'50': 75262.01},
Less than 1 year,,/research/US/Job=Applications_Analyst%2C_Software/Salary/a66abe5b/Entry-Level,18,{'50': 60966.82},
1-4 years,,/research/US/Job=Applications_Analyst%2C_Software/Salary/a66abe5b/Early-Career,166,{'50': 70841.09},
5-9 years,,/research/US/Job=Applications_Analyst%2C_Software/Salary/682ed62b/Mid-Career,111,{'50': 76859.32},
10-19 years,,/research/US/Job=Applications_Analyst%2C_Software/Salary/35091a9a/Experienced,97,{'50': 87747.78},
20 years or more,,/research/US/Job=Applications_Analyst%2C_Software/Salary/9f4025b6/Late-Career,36,{'50': 86353.14},
1-4 years,,/research/US/Job=Applications_Development_Director%2C_IT_%2F_Information_Systems/Salary/87fd5941/Early-Career,10,{'50': 111000},
5-9 years,,/research/US/Job=Applications_Development_Director%2C_IT_%2F_Information_Systems/Salary/cceaba75/Mid-Career,7,{'50': 141240.76},
10-19 years,,/research/US/Job=Applications_Development_Director%2C_IT_%2F_Information_Systems/Salary/8aeb0295/Experienced,41,{'50': 143995.23},
20 years or more,,/research/US/Job=Applications_Development_Director%2C_IT_%2F_Information_Systems/Salary/b3738271/Late-Career,33,{'50': 152445.99},
Less than 1 year,,/research/US/Job=Applications_Development_Manager/Salary/1eb9fcdf/Entry-Level,6,{'50': 95833.33},
1-4 years,,/research/US/Job=Applications_Development_Manager/Salary/1eb9fcdf/Early-Career,42,{'50': 110177.11},
5-9 years,,/research/US/Job=Applications_Development_Manager/Salary/f63eb974/Mid-Career,72,{'50': 118894.69},
10-19 years,,/research/US/Job=Applications_Development_Manager/Salary/4e1cbc6b/Experienced,161,{'50': 127282.69},
20 years or more,,/research/US/Job=Applications_Development_Manager/Salary/51f54126/Late-Career,129,{'50': 133446.31},
1-4 years,,/research/US/Job=Applications_Development_Manager%2C_Computer_Software/Salary/7a7f4520/Early-Career,17,{'50': 115016.52},
5-9 years,,/research/US/Job=Applications_Development_Manager%2C_Computer_Software/Salary/9a1a1f97/Mid-Career,18,{'50': 112726.22},
10-19 years,,/research/US/Job=Applications_Development_Manager%2C_Computer_Software/Salary/4a03ba35/Experienced,43,{'50': 131728.8},
20 years or more,,/research/US/Job=Applications_Development_Manager%2C_Computer_Software/Salary/5cecd825/Late-Career,36,{'50': 115480.56},
Less than 1 year,,/research/US/Job=Applications_Engineer/Salary/1a526360/Entry-Level,286,{'50': 67005.62},
1-4 years,,/research/US/Job=Applications_Engineer/Salary/1a526360/Early-Career,1914,{'50': 74796.78},
5-9 years,,/research/US/Job=Applications_Engineer/Salary/812817f4/Mid-Career,981,{'50': 86005.9},
10-19 years,,/research/US/Job=Applications_Engineer/Salary/3008cb15/Experienced,520,{'50': 97534.47},
20 years or more,,/research/US/Job=Applications_Engineer/Salary/f186b773/Late-Career,245,{'50': 100595.89},
Less than 1 year,,/research/US/Job=Applications_Engineer%2C_Electrical/Salary/9cc297cc/Entry-Level,13,{'50': 67242.33},
1-4 years,,/research/US/Job=Applications_Engineer%2C_Electrical/Salary/9cc297cc/Early-Career,6,{'50': 68300},
5-9 years,,/research/US/Job=Applications_Engineer%2C_Electrical/Salary/7b24dbcd/Mid-Career,75,{'50': 86181.13},
10-19 years,,/research/US/Job=Applications_Engineer%2C_Electrical/Salary/4bc53449/Experienced,21,{'50': 93289.75},
20 years or more,,/research/US/Job=Applications_Engineer%2C_Electrical/Salary/0e6e29c4/Late-Career,7,{'50': 99067.25},
1-4 years,,/research/US/Job=Applications_Engineering_Manager/Salary/52220c05/Early-Career,39,{'50': 96937.56},
5-9 years,,/research/US/Job=Applications_Engineering_Manager/Salary/e315e33e/Mid-Career,60,{'50': 105128.66},
10-19 years,,/research/US/Job=Applications_Engineering_Manager/Salary/a30a0b53/Experienced,118,{'50': 113988.38},
20 years or more,,/research/US/Job=Applications_Engineering_Manager/Salary/ed13e7fc/Late-Career,47,{'50': 118679.65},
Less than 1 year,,/research/US/Job=Applications_Programmer/Salary/80137f73/Entry-Level,17,{'50': 55109.2},
1-4 years,,/research/US/Job=Applications_Programmer/Salary/80137f73/Early-Career,102,{'50': 63209.27},
5-9 years,,/research/US/Job=Applications_Programmer/Salary/04231f90/Mid-Career,53,{'50': 80831.79},
10-19 years,,/research/US/Job=Applications_Programmer/Salary/6705ac48/Experienced,40,{'50': 83343.49},
20 years or more,,/research/US/Job=Applications_Programmer/Salary/c06577ae/Late-Career,26,{'50': 91714.7},
1-4 years,,/research/US/Job=Applications_Support_Lead/Salary/9482c22d/Early-Career,34,{'50': 75412.58},
5-9 years,,/research/US/Job=Applications_Support_Lead/Salary/12733395/Mid-Career,40,{'50': 80899.32},
10-19 years,,/research/US/Job=Applications_Support_Lead/Salary/904173b5/Experienced,48,{'50': 98175.92},
20 years or more,,/research/US/Job=Applications_Support_Lead/Salary/f11e2f19/Late-Career,24,{'50': 96923.13},
Less than 1 year,,/research/US/Job=Applications_Systems_Analyst/Salary/5e55884b/Entry-Level,38,{'50': 59860.84},
1-4 years,,/research/US/Job=Applications_Systems_Analyst/Salary/5e55884b/Early-Career,345,{'50': 70919.26},
5-9 years,,/research/US/Job=Applications_Systems_Analyst/Salary/995ce0bf/Mid-Career,248,{'50': 81037.85},
10-19 years,,/research/US/Job=Applications_Systems_Analyst/Salary/6ca1cd8f/Experienced,175,{'50': 83883.43},
20 years or more,,/research/US/Job=Applications_Systems_Analyst/Salary/6667c6bc/Late-Career,74,{'50': 85929.12},
Less than 1 year,,/research/US/Job=Applications_Systems_Analyst%2FProgrammer/Salary/d8fcb6b6/Entry-Level,17,{'50': 55928.31},
1-4 years,,/research/US/Job=Applications_Systems_Analyst%2FProgrammer/Salary/d8fcb6b6/Early-Career,97,{'50': 69382.21},
5-9 years,,/research/US/Job=Applications_Systems_Analyst%2FProgrammer/Salary/7de8e4df/Mid-Career,77,{'50': 76981.31},
10-19 years,,/research/US/Job=Applications_Systems_Analyst%2FProgrammer/Salary/9f63bc36/Experienced,60,{'50': 88602.68},
20 years or more,,/research/US/Job=Applications_Systems_Analyst%2FProgrammer/Salary/80783ca3/Late-Career,52,{'50': 104986.6},
Less than 1 year,,/research/US/Job=Applications_Systems_and_Program_Manager/Salary/3d1dcf21/Entry-Level,6,{'50': 73966.1},
