name,displayName,url,profileCount,range,isEstimated
SAP ABAP,,/research/US/Job=ABAP_Developer/Salary/5d2db339/SAP-ABAP,31,{'50': 97551.68},
SAP Enterprise Resource Planning (ERP),,/research/US/Job=ABAP_Developer/Salary/4c1a29d4/SAP-Enterprise-Resource-Planning-ERP,13,{'50': 80000},
Advanced Business Application Programming (ABAP) Language,,/research/US/Job=ABAP_Developer/Salary/f3707c72/Advanced-Business-Application-Programming-ABAP-Language,12,{'50': 80000},
Object Oriented Programming (OOP),,/research/US/Job=ABAP_Developer/Salary/7824f2da/Object-Oriented-Programming-OOP,11,{'50': 85000},
ABAP/4,,/research/US/Job=ABAP_Developer/Salary/e7899216/ABAP-4,7,{'50': 72500},
SAP Materials Management (SAP MM),,/research/US/Job=ABAP_Developer/Salary/e09a04aa/SAP-Materials-Management-SAP-MM,6,{'50': 93368.98},
SAP Sales and Distribution (SAP SD),,/research/US/Job=ABAP_Developer/Salary/ca14c144/SAP-Sales-and-Distribution-SAP-SD,5,{'50': 90000},
SQL,,/research/US/Job=ABAP_Developer/Salary/71075047/SQL,5,{'50': 60000},
SAP Business Workflow,,/research/US/Job=ABAP_Developer/Salary/adefbd87/SAP-Business-Workflow,5,{'50': 71898.51},
"Engineering Design, Semiconductor",,/research/US/Job=ASIC_Design_Engineer/Salary/96db9748/Engineering-Design-Semiconductor,72,{'50': 115225.5},
Verilog,,/research/US/Job=ASIC_Design_Engineer/Salary/99c47bf9/Verilog,50,{'50': 108107.62},
Field-Programmable Gate Array (FPGA),,/research/US/Job=ASIC_Design_Engineer/Salary/c04b7a33/Field-Programmable-Gate-Array-FPGA,29,{'50': 112676.47},
Digital Design,,/research/US/Job=ASIC_Design_Engineer/Salary/c4a05502/Digital-Design,26,{'50': 103280.51},
Verilog VHDL,,/research/US/Job=ASIC_Design_Engineer/Salary/8b60d21a/Verilog-VHDL,24,{'50': 114724.43},
Cadence Electronic Design Software,,/research/US/Job=ASIC_Design_Engineer/Salary/0e010cbb/Cadence-Electronic-Design-Software,22,{'50': 97734.9},
Perl,,/research/US/Job=ASIC_Design_Engineer/Salary/06f25e52/Perl,12,{'50': 112940.45},
Python,,/research/US/Job=ASIC_Design_Engineer/Salary/7c1c6278/Python,8,{'50': 91890.89},
Design,,/research/US/Job=ASIC_Design_Engineer/Salary/af6a9183/Design,8,{'50': 95000},
VHSIC Hardware Description Language (VHDL),,/research/US/Job=ASIC_Design_Engineer/Salary/13b010fa/VHSIC-Hardware-Description-Language-VHDL,7,{'50': 92000},
C Programming Language,,/research/US/Job=ASIC_Design_Engineer/Salary/27a3a1d7/C-Programming-Language,6,{'50': 94614.93},
Tool Command Language (TcL),,/research/US/Job=ASIC_Design_Engineer/Salary/e3a574ed/Tool-Command-Language-TcL,6,{'50': 118677.42},
Verilog,,/research/US/Job=ASIC_Engineer/Salary/53b63d09/Verilog,19,{'50': 116546.26},
Digital Design,,/research/US/Job=ASIC_Engineer/Salary/7a609dc6/Digital-Design,15,{'50': 121000},
Simulation,,/research/US/Job=ASIC_Engineer/Salary/a80eb3ef/Simulation,12,{'50': 128935.69},
"Engineering Design, Semiconductor",,/research/US/Job=ASIC_Engineer/Salary/c4c8b49b/Engineering-Design-Semiconductor,8,{'50': 110000},
Perl,,/research/US/Job=ASIC_Engineer/Salary/6dbb95da/Perl,7,{'50': 123000},
VHSIC Hardware Description Language (VHDL),,/research/US/Job=ASIC_Engineer/Salary/817181f0/VHSIC-Hardware-Description-Language-VHDL,7,{'50': 110000},
Verilog VHDL,,/research/US/Job=ASIC_Engineer/Salary/6772627a/Verilog-VHDL,5,{'50': 132500},
JavaScript,,/research/US/Job=ASP.NET_Developer/Salary/e6c97380/JavaScript,60,{'50': 66013.01},
Model-view-controller (MVC),,/research/US/Job=ASP.NET_Developer/Salary/887bcf90/Model-view-controller-MVC,48,{'50': 71384.77},
ASP.NET Framework,,/research/US/Job=ASP.NET_Developer/Salary/0b74bea7/ASP.NET-Framework,46,{'50': 74068.42},
Microsoft SQL Server,,/research/US/Job=ASP.NET_Developer/Salary/a6547488/Microsoft-SQL-Server,43,{'50': 71115.85},
C# Programming Language,,/research/US/Job=ASP.NET_Developer/Salary/1b534927/C%23-Programming-Language,42,{'50': 72573.61},
jQuery,,/research/US/Job=ASP.NET_Developer/Salary/210a0ff9/jQuery,39,{'50': 62142.48},
Cascading Style Sheets (CSS),,/research/US/Job=ASP.NET_Developer/Salary/1f86fd09/Cascading-Style-Sheets-CSS,33,{'50': 68163.82},
VB.Net,,/research/US/Job=ASP.NET_Developer/Salary/fd2f71dc/VB.Net,23,{'50': 68985.51},
.NET,,/research/US/Job=ASP.NET_Developer/Salary/5c608cd0/.NET,19,{'50': 65899.22},
HTML,,/research/US/Job=ASP.NET_Developer/Salary/d99a98ee/HTML,9,{'50': 62500},
HTML5,,/research/US/Job=ASP.NET_Developer/Salary/abf18304/HTML5,6,{'50': 67407.41},
Angular.js,,/research/US/Job=ASP.NET_Developer/Salary/9262afdb/Angular.js,5,{'50': 55000},
C++ Programming Language,,/research/US/Job=ASP.NET_Developer/Salary/d739b8a3/C%2B%2B-Programming-Language,5,{'50': 70733.47},
SQL,,/research/US/Job=ASP.NET_Developer/Salary/9593ae59/SQL,5,{'50': 50000},
Microsoft Excel,,/research/US/Job=Actuarial_Associate/Salary/d8a810cb/Microsoft-Excel,92,{'50': 80904.69},
Data Analysis,,/research/US/Job=Actuarial_Associate/Salary/84914c3c/Data-Analysis,63,{'50': 80109.86},
VBA,,/research/US/Job=Actuarial_Associate/Salary/20e86db1/VBA,31,{'50': 73338.14},
Financial Modeling,,/research/US/Job=Actuarial_Associate/Salary/b4704e75/Financial-Modeling,28,{'50': 81084.91},
SQL,,/research/US/Job=Actuarial_Associate/Salary/8c839233/SQL,18,{'50': 82790.8},
Data Modeling,,/research/US/Job=Actuarial_Associate/Salary/cad2443f/Data-Modeling,17,{'50': 77582.23},
Microsoft Office,,/research/US/Job=Actuarial_Associate/Salary/e6a36731/Microsoft-Office,12,{'50': 84178.53},
Problem Solving,,/research/US/Job=Actuarial_Associate/Salary/13aac945/Problem-Solving,12,{'50': 88075.94},
Valuation,,/research/US/Job=Actuarial_Associate/Salary/f9523b07/Valuation,7,{'50': 85000},
Financial Analysis,,/research/US/Job=Actuarial_Associate/Salary/20cccaa2/Financial-Analysis,6,{'50': 86526.07},
Pricing,,/research/US/Job=Actuarial_Associate/Salary/0cea3975/Pricing,6,{'50': 87628.8},
Insurance,,/research/US/Job=Actuarial_Associate/Salary/b518f546/Insurance,5,{'50': 83988.1},
SAS (Statistical Analysis System),,/research/US/Job=Actuarial_Associate/Salary/7b4fcb28/SAS-Statistical-Analysis-System,5,{'50': 76000},
Statistical Analysis,,/research/US/Job=Actuarial_Associate/Salary/1b05c464/Statistical-Analysis,3,{'50': 95000},
Microsoft Excel,,/research/US/Job=Actuarial_Consultant/Salary/2725913f/Microsoft-Excel,76,{'50': 99859.67},
Data Analysis,,/research/US/Job=Actuarial_Consultant/Salary/1380f8dc/Data-Analysis,63,{'50': 97374.64},
Insurance,,/research/US/Job=Actuarial_Consultant/Salary/8f63d963/Insurance,38,{'50': 99758.38},
Risk Consulting,,/research/US/Job=Actuarial_Consultant/Salary/cabdf409/Risk-Consulting,33,{'50': 116439.03},
Financial Modeling,,/research/US/Job=Actuarial_Consultant/Salary/c1f993e2/Financial-Modeling,17,{'50': 120000},
Pricing,,/research/US/Job=Actuarial_Consultant/Salary/599e5922/Pricing,17,{'50': 104761.9},
Data Modeling,,/research/US/Job=Actuarial_Consultant/Salary/c19ef233/Data-Modeling,16,{'50': 88820.22},
Statistical Analysis,,/research/US/Job=Actuarial_Consultant/Salary/a0010a2c/Statistical-Analysis,11,{'50': 93794.97},
Valuation,,/research/US/Job=Actuarial_Consultant/Salary/03f8c28e/Valuation,9,{'50': 113616.17},
SAS (Statistical Analysis System),,/research/US/Job=Actuarial_Consultant/Salary/fcc8b640/SAS-Statistical-Analysis-System,5,{'50': 93000},
Microsoft Access,,/research/US/Job=Actuarial_Consultant/Salary/709bbb69/Microsoft-Access,5,{'50': 82000},
VBA,,/research/US/Job=Actuarial_Consultant/Salary/c09f3304/VBA,3,{'50': 74000},
Microsoft Excel,,/research/US/Job=Actuary/Salary/d8fbacb7/Microsoft-Excel,243,{'50': 98566.38},
Data Analysis,,/research/US/Job=Actuary/Salary/b3b32601/Data-Analysis,240,{'50': 103565.62},
Insurance,,/research/US/Job=Actuary/Salary/72741102/Insurance,206,{'50': 105098.6},
Pricing,,/research/US/Job=Actuary/Salary/0552af9c/Pricing,197,{'50': 113428.82},
Financial Modeling,,/research/US/Job=Actuary/Salary/5f0987d3/Financial-Modeling,185,{'50': 107328.32},
Statistical Analysis,,/research/US/Job=Actuary/Salary/79abed78/Statistical-Analysis,129,{'50': 96389.27},
Microsoft Access,,/research/US/Job=Actuary/Salary/6e6621b8/Microsoft-Access,73,{'50': 90197.2},
Financial Analysis,,/research/US/Job=Actuary/Salary/f95754a9/Financial-Analysis,57,{'50': 103698.65},
Valuation,,/research/US/Job=Actuary/Salary/9d8e652d/Valuation,31,{'50': 117451.75},
SQL,,/research/US/Job=Actuary/Salary/2742987a/SQL,18,{'50': 97500},
Financial Reporting,,/research/US/Job=Actuary/Salary/5d7dd067/Financial-Reporting,15,{'50': 121661.08},
Risk Management / Risk Control,,/research/US/Job=Actuary/Salary/7b29c986/Risk-Management-Risk-Control,15,{'50': 117000},
Reinsurance,,/research/US/Job=Actuary/Salary/f1662ead/Reinsurance,14,{'50': 114613.01},
Risk Consulting,,/research/US/Job=Actuary/Salary/0f4f7512/Risk-Consulting,11,{'50': 129000},
SAS,,/research/US/Job=Actuary/Salary/3197f172/SAS,11,{'50': 127450.98},
Data Modeling,,/research/US/Job=Actuary/Salary/057e06c4/Data-Modeling,11,{'50': 105550},
Product Development,,/research/US/Job=Actuary/Salary/ecd99518/Product-Development,10,{'50': 123151.27},
VBA,,/research/US/Job=Actuary/Salary/48ed59b0/VBA,8,{'50': 75500},
Technical Analysis,,/research/US/Job=Actuary/Salary/b9690e27/Technical-Analysis,5,{'50': 98372.81},
Python,,/research/US/Job=Actuary/Salary/f677c141/Python,5,{'50': 117916.22},
R,,/research/US/Job=Actuary/Salary/dd138e58/R,5,{'50': 144199.06},
Mathematica,,/research/US/Job=Actuary/Salary/7c9f4cff/Mathematica,5,{'50': 84000},
Lotus (IBM) Domino,,/research/US/Job=Administrator%2C_Lotus_Notes/Salary/51d72153/Lotus-IBM-Domino,2,{'50': 74290.13},
Strategic Partners,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/0968acde/Strategic-Partners,22,{'50': 91233.16},
Business Development,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/57f9f512/Business-Development,17,{'50': 90000},
Channel Sales,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/aca69bf5/Channel-Sales,12,{'50': 90000},
Strategy,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/41b34f2d/Strategy,9,{'50': 97500},
Strategic Project Management,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/d6ea8946/Strategic-Project-Management,7,{'50': 103090.5},
Account Sales,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/16a24f91/Account-Sales,7,{'50': 97461.8},
Business Strategy,,/research/US/Job=Alliance_Manager%2C_Enterprise_Software/Salary/21120f77/Business-Strategy,7,{'50': 90000},
Microsoft Office,,/research/US/Job=Analyst_Methods_%26_Procedures/Salary/48797cdb/Microsoft-Office,5,{'50': 70000},
Data Analysis,,/research/US/Job=Analytical_Strategist/Salary/473cabfd/Data-Analysis,42,{'50': 75150.03},
Strategic Planning,,/research/US/Job=Analytical_Strategist/Salary/74664dc8/Strategic-Planning,41,{'50': 73299.43},
Research Analysis,,/research/US/Job=Analytical_Strategist/Salary/1e070afb/Research-Analysis,24,{'50': 65633.95},
Microsoft Excel,,/research/US/Job=Analytical_Strategist/Salary/6532d2a3/Microsoft-Excel,12,{'50': 67500},
SQL,,/research/US/Job=Analytical_Strategist/Salary/2787a056/SQL,11,{'50': 77250},
Market Research,,/research/US/Job=Analytical_Strategist/Salary/d9e53688/Market-Research,10,{'50': 96313.5},
Strategy,,/research/US/Job=Analytical_Strategist/Salary/73e18e3f/Strategy,9,{'50': 93500},
Tableau Software,,/research/US/Job=Analytical_Strategist/Salary/ed98c97e/Tableau-Software,9,{'50': 74557.71},
Proposal Writing,,/research/US/Job=Analytical_Strategist/Salary/d374509f/Proposal-Writing,5,{'50': 80000},
Data Analysis,,/research/US/Job=Analytics_Manager/Salary/a373e6c3/Data-Analysis,1627,{'50': 102204.09},
SQL,,/research/US/Job=Analytics_Manager/Salary/5c35e423/SQL,1061,{'50': 108718.18},
Business Intelligence,,/research/US/Job=Analytics_Manager/Salary/6335987d/Business-Intelligence,716,{'50': 107783},
Microsoft Excel,,/research/US/Job=Analytics_Manager/Salary/e0b55a50/Microsoft-Excel,517,{'50': 94073.39},
Tableau Software,,/research/US/Job=Analytics_Manager/Salary/fa4bd411/Tableau-Software,474,{'50': 102899.15},
Business Analysis,,/research/US/Job=Analytics_Manager/Salary/1eb9f13d/Business-Analysis,449,{'50': 104317.79},
Statistical Analysis,,/research/US/Job=Analytics_Manager/Salary/e997bfc5/Statistical-Analysis,253,{'50': 107220.12},
Big Data Analytics,,/research/US/Job=Analytics_Manager/Salary/56b907b6/Big-Data-Analytics,203,{'50': 111189.96},
People Management,,/research/US/Job=Analytics_Manager/Salary/2372f4c4/People-Management,174,{'50': 103491.74},
Project Management,,/research/US/Job=Analytics_Manager/Salary/90ea60bf/Project-Management,166,{'50': 102708.92},
Database Management & Reporting,,/research/US/Job=Analytics_Manager/Salary/332f2d07/Database-Management-%26-Reporting,129,{'50': 95917.84},
Python,,/research/US/Job=Analytics_Manager/Salary/b28a390d/Python,117,{'50': 107558.28},
Business Strategy,,/research/US/Job=Analytics_Manager/Salary/0069b1b2/Business-Strategy,111,{'50': 104076.66},
