job_title,category,description,summary_hourly,summary_salary,country,currency,rating,rating_count,gender_responses,male_count,female_count
ABAP Developer,15-1030.00 - Computer Software Engineers,"ABAP developers are in charge of designing and developing complex enterprise-level applications for their organization. They are responsible for creating complex algorithms and data structures, and one of their main duties is performance monitoring and subsequently revising programs. ABAP developers assist in the translation of logical data design to physical database design, develop effective strategies for recovering applications in case of data loss, suggest changes for scalability issues, and promote quality control according to service level contracts. They also assist in project management activities and in the assessment and proper resolution of complex software bugs. Additionally, they implement system applications, follow up as needed in case of glitches after deploying to end users, conduct technical evaluation of code requirements, and propose detailed changes. ABAP developers also lead the review of business development case, as well as the revision of tools, standards, and methodologies. They create reports using a personal computer, support management in hiring duties, and provide regular support to existing application systems and software packages. ABAP developers must follow strict privacy measures and system security practices. 
A bachelor's degree in computer science, software development, or a related field is generally required for this position. Experience in a similar developer capacity may be preferred.
ABAP developers must have expert-level knowledge in several programming languages, as well as strong analytical, and problem-solving skills to propose innovative ideas for solving technical challenges. They should work well independently and in a team environment with other developers with similar expertise. They should have working knowledge of system life-cycle methodologies, in addition to industry standard requirements. They must also have expert abilities with a variety of software development tools. ",The average pay for an ABAP Developer is $82.15 per hour.,"The average pay for an ABAP Developer is $90,000 per year.",US,USD,4.33,3.0,15.0,13.0,2.0
ASIC Design Engineer,15-1030.00 - Computer Software Engineers,"An ASIC design engineer typically works within a team that is responsible for all aspects of design activities, including architecture definition, design specification, design flow development, logic design, and verification.  ASIC is defined as “application-specific integrated circuit” and is an integrated circuit that is customized for a specific use, rather than for general use.  The ASIC design engineer is typically responsible for designing and delivering large, complex ASIC designs, and they deliver efficient design methodology on industry-standard design tools. 
To obtain this position, a person typically must at least possess a bachelor's degree in electrical engineering, computer engineering, or a related field; however, a master's degree is often preferred.  An ASIC design engineer also should have several years of experience in ASIC design.  It is often preferred that the individual has a diverse background in verification methodologies, and it is typically required that they have strong programming skills, as well as Verilog, SystemVerilog, object-oriented programming, C++, and logic simulation familiarity.  
This position also requires a strong understanding of computer architecture, strong communication skills, and the ability to operate well in diverse environments, as this position is important in a variety of fields. The ASIC design engineer must be a team player and function effectively in a group setting; however, they should also be able to work independently with minimal supervision. These engineers should also be able to effectively adapt their skills to the given environment.",The average pay for an ASIC Design Engineer is $59.23 per hour.,"The average pay for an ASIC Design Engineer is $109,305 per year.",US,USD,3.91,11.0,31.0,26.0,4.0
ASIC Engineer,15-1030.00 - Unclassified Computer Software Engineers,"ASIC (application-specific integrated circuit) engineers work to design  microchips for specific applications, such as transmission protocols, hand-held computers, and smartphones. Their work is different than that of engineers who work with general integrated circuits, such as microprocessors and random-access memory chips in personal computers. They generally work for companies in electronics, defense, and aerospace, as well as government institutions, and work with architecture, design, implementation, and system integration of a wide variety of integrated circuits.
A bachelor's degree in electrical engineering or a related field is generally required for this position, and some employers may prefer candidates who have master's degrees and/or prior research experience. ASIC engineers who work for technology companies are often required to pass security clearance due to Export Control restrictions related to high-technology products. Many employers also require candidates to be U.S. Citizens or Lawful Permanent Resident of the United States. ASIC engineers may also be responsible for various projects and project management (planning, schedule, budget, cost and scope control, and risk management). They may interact with outside clients in addition to internal clients from other departments of their companies.
ASIC engineers work closely with employees of departments such as electrical design, mechanical design, and others which work on the same projects. They must work well in team-oriented environments and maintain confidentiality, and may be required to travel on occasion. Excellent interpersonal skills and oral and written communications skills are highly beneficial.",,"The average pay for an ASIC Engineer is $116,546 per year.",US,USD,3.6,5.0,7.0,6.0,1.0
ASP.NET Developer,15-1030.00 - Computer Software Engineers,"An ASP.NET developer must have experience and proficiency in ASP.NET. Knowledge of other web frameworks, patterns, and programming languages is beneficial to the ideal candidate. Examples include CSS, HTML, Javascript, and C#. Most ASP.NET developers have at least a bachelor's degree in computer science or another related field. In addition to the standard qualifications and knowledge, this job requires strong organization skills, meticulous attention to detail, and good communication skills.
An ASP.NET developer typically works as part of a team, but individual work is also necessary. This job will require a wide array of tasks. The developer will primarily work on developing and supporting applications and programs. He or she will also serve as an analyst for other applications and programs by verifying completeness and functionality. This involves inputting sample data and evaluating the output of results, as well as debugging any errors that might come up. Work on already existing programs may also be required. Examples of such work include adding new features and functions to existing programs, optimizing them, or modifying them if a new problem comes up. The developer must maintain regular contact with other employees, which includes reporting progress and problems at team meetings, training end users in the use of programs, and assisting users who have issues with the programs.
",The average pay for an ASP.NET Developer is $21.06 per hour.,"The average pay for an ASP.NET Developer is $73,969 per year.",US,USD,4.5,2.0,14.0,11.0,2.0
Actuarial Associate,15-2010.00 - Actuaries,"Actuarial associates assist senior actuaries in assessing the financial impact of speculation, uncertainty, and risk related to unexpected, uncontrollable events such as death, natural disasters, and other liabilities to a corporation or firm. Actuarial associates typically work full time in an office environment, but they may also be part of a consulting firm that works directly with multiple companies. Their duties include the aggregation of existing databases to determine the need for protection against various liabilities, the collection of new data to determine liability risk, and interaction with other departments to research the potential for liabilities. 
Actuarial associates are also responsible for presenting and documenting information found through research, using software to record data and organize it into accessible databases, and performing other tasks that may be required in assisting their senior actuary. Skills that are useful in an actuarial associate position are the ability to present to a group and effectively communicate information, a basic knowledge of computer software and digital databases, the ability to compare and analyze data, the attention to detail necessary to properly evaluate liabilities, and the ability to work closely with a team of other associates and senior actuaries. 
Requirements for these positions often include a bachelor's degree in finance, mathematics, statistics, or a related field. Membership as a Fellow of the Society of Actuaries (FSA) or Associate of the Society of Actuaries (ASA) certification, as well as three to five years of actuarial experience, are required as well. Actuarial associates should have the ability to use Prophet and/or other customer relationship management (CRM) software and experience with SQL database standards.",,"The average pay for an Actuarial Associate is $83,686 per year.",US,USD,3.78,11.0,39.0,25.0,14.0
Actuarial Consultant,15-2010.00 - Actuaries,"Actuarial consultants are responsible for applying quantitative and analytical methods to projects for their organizations, as well as providing expert knowledge in actuarial functions to benefit business and services. They may also work in product/service development, expenses, or sales.
Actuarial consultants use a personal computer to run calculations, write specialized reports, and input data into databases and must be able to communicate well and organize financial resources into specific funds to cover company expenses. They must follow strict privacy regulations to respect clients' privacy, and also analyze data and calculate risks based on pricing factors. 
These consultants must be proficient with spreadsheet and word processing software and familiar with database applications and a variety of risk programs. They may manage risk in a variety of scenarios and help use data to avoid crises in business environments and mitigate risks using research data. They use quantities from company performance, financial information, debts, liabilities, assets, and clients to form qualified opinions on potential improvements for the company, and should be organized and pay close attention to detail. They may make predictions using hard data for possible market-changes and patterns in consumption, and they should be able to multitask and prioritize projects as necessary. They must also have excellent knowledge of corporate acquisitions, risks in insurance matters, protecting management, and company welfare. A bachelor's degree in an actuary science is generally required for this position, and industry certifications are also helpful.",The average pay for an Actuarial Consultant is $39.00 per hour.,"The average pay for an Actuarial Consultant is $102,249 per year.",US,USD,3.73,11.0,36.0,21.0,15.0
Actuary,15-2010.00 - Actuaries,"Actuaries play a key role in insurance companies by serving as analysts who help determine whether the company should issue an insurance policy and what the premium for that policy should be. They use a great deal of statistical analysis in their work, as they examine huge amounts of data related to costing and trends. Insurance companies must always maintain their financial health, and the role of the actuary is to manage risk in the delicate balance between issuing policies (and the costs paid for them) and the exposure to financial risk for the company.
Often, actuaries help add statistically-significant data to data models for insurance companies and then analyze related effects on insurance policies. This typically includes examining incident data (such as car accidents by location or age ranges in auto insurance) and then adjusting rates and terms as necessary; they may also occasionally pull disparate data from a variety of sources for these adjustments. For example, those who work with homeowner's insurance may regularly assess not only crime data in a neighborhood, but also patterns of destructive weather where previous claims have been paid. This ongoing re-calculation of risk exposure for the insurance company is an actuary's primary responsibility.
Candidates for this position should have a college degree in actuarial science or a field related to statistical analysis. They must also be highly experienced with computers and able to quickly manage large data streams to discern trends and useful information. Most actuaries work for insurance companies, although some financial service companies may have actuarial departments which manage investment risks. Actuaries generally work in office environments during traditional business hours.",The average pay for an Actuary is $34.56 per hour.,"The average pay for an Actuary is $102,184 per year.",US,USD,4.02,67.0,199.0,136.0,62.0
"Administrator, Lotus Notes",15-1070.00 - Network and Computer Systems Administrators,"The job of the Lotus Notes administrator is to create an ongoing email marketing strategy and implementation for the company consistent with the brand and other marketing endeavors. Additionally, the Lotus Notes administrator must monitor, maintain, and streamline internal company communications. This involves listening, teaching, answering questions of colleagues, updating technology and implementing best practices for internal communication using Lotus Notes and other software. The Lotus Notes administrator performs general administrator tasks such as directing and coordinating projects from start to finish, as well as implementing design that impels consumers and/or colleagues to actively respond to ""call to action"" scenarios. They must be up to date on current consumer preference trends and privacy laws, as well as effective with social media tools, and know how to relate to various audiences.  
The position requires exceptional knowledge and skills in the software program Lotus Notes, as well as being able to learn other new software easily. Lotus Notes administrators must be proficient in navigating different operating systems, including Windows, OS, iOS and Android. They must be able to download apps and plug-ins, install programs, and understand hosting, domains and servers. They also need to be up to date with relevant technology and able to understand and troubleshoot general networking. He or she must work well with supervision and be a self-starter, have good communication skills, be able to lead and act in a supervisory role, and be a team player.","The average pay for an Administrator, Lotus Notes is $50.00 per hour.","The average pay for an Administrator, Lotus Notes is $76,000 per year.",US,USD,3.0,1.0,4.0,4.0,
"Alliance Manager, Enterprise Software",15-1030.00 - Unclassified Computer Software Engineers,,,"The average pay for an Alliance Manager, Enterprise Software is $98,870 per year.",US,USD,4.5,2.0,13.0,7.0,6.0
Analyst Methods & Procedures,15-2030.00 - Operations Research Analysts,,,"The average pay for an Analyst Methods & Procedures is $70,810 per year.",US,USD,2.0,2.0,5.0,3.0,2.0
